,scores
0,-500.0
1,-500.0
2,-500.0
3,-500.0
4,-500.0
5,-500.0
6,-500.0
7,-500.0
8,-500.0
9,-500.0
10,-500.0
11,-500.0
12,-500.0
13,-500.0
14,-500.0
15,-500.0
16,-500.0
17,-500.0
18,-500.0
19,-500.0
20,-411.0
21,-500.0
22,-500.0
23,-500.0
24,-435.0
25,-445.0
26,-500.0
27,-407.0
28,-500.0
29,-500.0
30,-459.0
31,-500.0
32,-492.0
33,-320.0
34,-386.0
35,-255.0
36,-423.0
37,-466.0
38,-246.0
39,-285.0
40,-318.0
41,-345.0
42,-500.0
43,-384.0
44,-239.0
45,-419.0
46,-500.0
47,-317.0
48,-500.0
49,-190.0
50,-210.0
51,-454.0
52,-289.0
53,-243.0
54,-246.0
55,-232.0
56,-240.0
57,-155.0
58,-275.0
59,-322.0
60,-204.0
61,-236.0
62,-160.0
63,-197.0
64,-181.0
65,-129.0
66,-252.0
67,-162.0
68,-207.0
69,-210.0
70,-207.0
71,-269.0
72,-148.0
73,-163.0
74,-163.0
75,-267.0
76,-305.0
77,-146.0
78,-147.0
79,-174.0
80,-203.0
81,-165.0
82,-177.0
83,-151.0
84,-213.0
85,-153.0
86,-256.0
87,-341.0
88,-126.0
89,-246.0
90,-211.0
91,-242.0
92,-182.0
93,-137.0
94,-131.0
95,-154.0
96,-178.0
97,-144.0
98,-137.0
99,-166.0
100,-166.0
101,-137.0
102,-193.0
103,-170.0
104,-145.0
105,-155.0
106,-186.0
107,-155.0
108,-169.0
109,-147.0
110,-123.0
111,-156.0
112,-141.0
113,-130.0
114,-124.0
115,-161.0
116,-173.0
117,-229.0
118,-159.0
119,-215.0
120,-168.0
121,-146.0
122,-117.0
123,-90.0
124,-110.0
125,-132.0
126,-134.0
127,-210.0
128,-186.0
129,-218.0
130,-133.0
131,-104.0
132,-122.0
133,-112.0
134,-106.0
135,-116.0
136,-149.0
137,-100.0
138,-252.0
139,-102.0
140,-145.0
141,-124.0
142,-141.0
143,-116.0
144,-115.0
145,-134.0
146,-112.0
147,-97.0
148,-132.0
149,-113.0
150,-135.0
151,-94.0
152,-97.0
153,-95.0
154,-500.0
155,-126.0
156,-95.0
157,-115.0
158,-183.0
