,scores
0,-11.24357683497419
1,-28.360764524638046
2,-16.276586721476168
3,-25.92470213594039
4,-14.251252978712325
5,-23.285646374381457
6,-20.39515558002517
7,-32.67888903467171
8,-19.737011411938823
9,-7.193027734740328
10,-16.663499244617924
11,-10.299512680739165
12,-51.488630985541306
13,-20.88664116664914
14,-10.582988015241302
15,-22.462549894629042
16,-9.621050302863738
17,-16.15659616211491
18,-22.024278440419586
19,-20.704574872213097
20,-16.07578164979133
21,-17.661298954361428
22,-14.606755115900192
23,-12.927973605526608
24,-13.001116407073416
25,-19.53425492030009
26,-15.33601129143809
27,-15.833885827506585
28,-20.356854258216288
29,-22.83126914671747
30,-24.356924789592625
31,-22.829241144364694
32,-20.673239416002602
33,-19.52838068163705
34,-12.010446250701326
35,-12.74053497910562
36,-15.56022889487197
37,-10.581066042521964
38,-18.83619027887037
39,-22.439996095892663
40,-24.551476422565692
41,-19.05697234975299
42,-23.949696536624806
43,-18.231360933772603
44,-20.996703092769412
45,-30.301555618970955
46,-14.421084481168533
47,-12.109070065811903
48,-11.472124665943904
49,-14.4986534086621
50,-24.213053215897947
51,-15.82075301277886
52,-32.17583275096988
53,-27.60861195526149
54,-16.30565753809673
55,-18.2440899717814
56,-49.885303724044974
57,-12.58141444174635
58,-24.907350126685575
59,-18.47126728980926
60,-19.506858122173078
61,-24.519699756123746
62,-10.672516336165994
63,-20.274772077274825
64,-9.50842423746611
65,-19.901143575106442
66,-20.310773366353168
67,-21.61017036211118
68,-13.250378228079532
69,-23.88213568082575
70,-7.7409235861667725
71,-27.024008142340925
72,-16.05909757766562
73,-18.93940793559265
74,-28.5259164684626
75,-15.413739757015058
76,-15.147471895005557
77,-14.729517690002304
78,-13.714615910296022
79,-16.135269740987567
80,-13.55366884807622
81,-19.649224527324865
82,-27.725424344479418
83,-14.41112712448277
84,-20.6577829815168
85,-13.491992914564907
86,-10.89025717191088
87,-15.406362937544777
88,-36.928087330068166
89,-12.969733189960941
90,-15.71147990782621
91,-13.763645548511922
92,-15.873178160613403
