,scores
0,13.0
1,41.0
2,32.0
3,25.0
4,36.0
5,12.0
6,20.0
7,13.0
8,19.0
9,33.0
10,43.0
11,21.0
12,11.0
13,23.0
14,16.0
15,13.0
16,9.0
17,24.0
18,20.0
19,41.0
20,10.0
21,22.0
22,21.0
23,36.0
24,30.0
25,32.0
26,13.0
27,11.0
28,17.0
29,19.0
30,14.0
31,13.0
32,55.0
33,46.0
34,9.0
35,14.0
36,14.0
37,26.0
38,14.0
39,20.0
40,44.0
41,21.0
42,10.0
43,14.0
44,14.0
45,14.0
46,13.0
47,42.0
48,20.0
49,28.0
50,19.0
51,42.0
52,20.0
53,29.0
54,17.0
55,28.0
56,17.0
57,20.0
58,39.0
59,18.0
60,47.0
61,12.0
62,37.0
63,11.0
64,23.0
65,16.0
66,15.0
67,14.0
68,34.0
69,13.0
70,8.0
71,38.0
72,28.0
73,11.0
74,18.0
75,41.0
76,27.0
77,15.0
78,22.0
79,19.0
80,10.0
81,22.0
82,14.0
83,36.0
84,21.0
85,14.0
86,13.0
87,15.0
88,32.0
89,16.0
90,25.0
91,20.0
92,18.0
93,11.0
94,15.0
95,28.0
96,39.0
97,20.0
98,44.0
99,15.0
100,22.0
101,28.0
102,11.0
103,43.0
104,31.0
105,22.0
106,30.0
107,23.0
108,17.0
109,28.0
110,18.0
111,19.0
112,12.0
113,11.0
114,19.0
115,15.0
116,9.0
117,17.0
118,18.0
119,23.0
120,24.0
121,12.0
122,34.0
123,25.0
124,19.0
125,17.0
126,18.0
127,14.0
128,19.0
129,48.0
130,60.0
131,29.0
132,13.0
133,12.0
134,30.0
135,13.0
136,17.0
137,19.0
138,29.0
139,28.0
140,11.0
141,18.0
142,14.0
143,14.0
144,12.0
145,10.0
146,11.0
147,11.0
148,50.0
149,13.0
150,37.0
151,11.0
152,10.0
153,13.0
154,15.0
155,27.0
156,14.0
157,21.0
158,10.0
159,27.0
160,14.0
161,24.0
162,43.0
163,18.0
164,23.0
165,13.0
166,14.0
167,41.0
168,46.0
169,30.0
170,11.0
171,23.0
172,18.0
173,22.0
174,12.0
175,37.0
176,20.0
177,21.0
178,23.0
179,17.0
180,18.0
181,19.0
182,12.0
183,13.0
184,19.0
185,23.0
186,18.0
187,26.0
188,28.0
189,14.0
190,16.0
191,21.0
192,27.0
193,45.0
194,74.0
195,31.0
196,17.0
197,14.0
198,23.0
199,20.0
200,18.0
201,12.0
202,16.0
203,21.0
204,17.0
205,10.0
206,25.0
207,9.0
208,42.0
209,24.0
210,39.0
211,22.0
212,28.0
213,20.0
214,16.0
215,21.0
216,53.0
217,15.0
218,12.0
219,17.0
220,67.0
221,19.0
222,14.0
223,52.0
224,95.0
225,15.0
226,12.0
227,21.0
228,37.0
229,39.0
230,32.0
231,20.0
232,23.0
233,30.0
234,30.0
235,19.0
236,19.0
237,12.0
238,20.0
239,25.0
240,13.0
241,20.0
242,9.0
243,18.0
244,12.0
245,17.0
246,10.0
247,13.0
248,15.0
249,23.0
250,20.0
251,20.0
252,12.0
253,15.0
254,14.0
255,41.0
256,18.0
257,18.0
258,12.0
259,12.0
260,30.0
261,20.0
262,10.0
263,17.0
264,49.0
265,16.0
266,52.0
267,15.0
268,57.0
269,21.0
270,26.0
271,14.0
272,15.0
273,9.0
274,14.0
275,16.0
276,17.0
277,22.0
278,46.0
279,14.0
280,12.0
281,19.0
282,50.0
283,30.0
284,12.0
285,33.0
286,18.0
287,8.0
288,25.0
289,26.0
290,15.0
291,46.0
292,44.0
293,46.0
294,16.0
295,38.0
296,14.0
297,39.0
298,22.0
299,14.0
300,15.0
301,26.0
302,22.0
303,18.0
304,18.0
305,14.0
306,36.0
307,15.0
308,14.0
309,16.0
310,45.0
311,19.0
312,14.0
313,26.0
314,22.0
315,47.0
316,10.0
317,64.0
318,15.0
319,17.0
320,15.0
321,21.0
322,28.0
323,27.0
324,13.0
325,10.0
326,20.0
327,45.0
328,24.0
329,26.0
330,14.0
331,11.0
332,34.0
333,16.0
334,10.0
335,20.0
336,15.0
337,27.0
338,46.0
339,28.0
340,12.0
341,83.0
342,12.0
343,27.0
344,16.0
