,scores
0,-447.5233163815598
1,-92.43963446368922
2,-467.0543969940501
3,-197.9544077339604
4,-356.49738839218
5,-80.4164542484943
6,-565.6944245456505
7,-758.1400871276878
8,-293.5196718853833
9,-336.2417408794586
10,-282.4580113577261
11,-526.704790167395
12,-352.8557670203427
13,-360.84177972458224
14,-640.4024093072087
15,-174.48431713158297
16,-149.31202685611692
17,-72.13444819290217
18,-310.89968419737943
19,-68.63533107344243
20,-96.57624194710233
21,-223.78580307923463
22,-106.52057245823445
23,-163.48757322562648
24,-97.18128955809235
25,-169.11731428403763
26,-349.7516640947208
27,-230.15350545747543
28,-352.9572146311108
29,-110.942211908012
30,-417.24734466889186
31,-201.74346823086006
32,-399.50955388607423
33,-111.7649673442184
34,-141.81283594379616
35,-69.74281036115907
36,-392.1770911775353
37,-147.09142366152517
38,-209.14001713900788
39,-143.69883463538665
40,-65.78857835059047
41,-68.07197157241151
42,-174.83831317791515
43,-63.34019061525076
44,-138.17456579686208
45,-110.87386756097786
46,-162.82851319186022
47,-259.86839093014873
48,-115.87437566958587
49,-157.77251317004533
50,-332.6047859917962
51,-107.77286360570525
52,-281.57871495612824
53,-158.019336158113
54,-111.7680688056839
55,-94.11812481304096
56,-85.30236365210584
57,-13.1114580368574
58,-100.06381639291746
59,-174.72424096114491
60,-101.86037195950736
61,-128.4964114315841
62,-115.55250690677906
63,-397.1611609022908
64,-172.13483380840222
65,-116.66169661044026
66,-125.79342709056326
67,-345.0916044643816
68,-304.80390509634196
69,-554.5438529364536
70,-135.5105450955902
71,-252.5035598958047
72,-355.72502314303654
73,-399.94011856984616
74,-324.27079195009003
75,-76.98746696593747
76,-243.67758984206733
77,-100.68991304839304
78,-32.68664081896978
79,-621.0214436668143
80,-371.3243588931171
81,-83.90787922025771
82,-36.64545524717356
83,-293.4997466179714
84,-313.95762154162844
85,-247.22147816757376
86,-575.5125987366316
87,-158.12752158435637
88,-530.0782104125436
89,-110.8513456531067
90,-190.65907314970866
91,-339.08949134742886
92,-97.7559245617521
93,-399.83181228098476
94,-577.9956604434851
95,-123.07873955909315
96,-463.65865715124323
97,-478.4336227766632
98,-607.6844259661257
99,-74.67331536415027
100,-430.20367958151525
101,-29.48270645043793
