,scores
0,-437.7259349270786
1,-79.52178172272761
2,-296.7650845894143
3,-173.7081251061393
4,-346.01395144572155
5,-208.38418248998693
6,-66.20760043440063
7,-243.7482372325021
8,-306.330873132949
9,-94.78478088956099
10,-132.29848683291084
11,-54.253205660286326
12,-376.8207397666549
13,-436.94758480434734
14,-324.547075152007
15,-328.6460758053422
16,-210.06950934361407
17,-116.20213684727909
18,-304.45004482608635
19,-280.36689557569423
20,-368.7535080357848
21,-129.85867957071525
22,-447.0529450243312
23,-114.06436874397471
24,-324.33156979227067
25,-140.2665005100872
26,-41.70869188163807
27,-455.70230013923697
28,-283.14232562417027
29,-305.2081384465114
30,-179.77844298026588
31,-389.762740209911
32,-98.76202426578787
33,-72.51638715987463
34,-373.8035725599537
35,-87.18419348318604
36,-32.33132917434618
37,-179.58615230412784
38,-255.6617787799486
39,-417.3470595117457
40,-132.08325067888603
41,-208.21821778390353
42,-70.40203028451688
43,-245.83655627377286
44,-315.9803593183878
45,-445.692608804154
46,-37.861479413842154
47,-286.4112700782204
48,-301.4001182152425
49,-187.73810045099492
50,-272.1707809576627
51,-380.37686894675045
52,-211.06729384712054
53,-30.50428050962978
54,-54.37733249634654
55,-255.13053248110603
56,-373.3508531595291
57,-75.18735753461371
58,-141.50861216340996
59,-477.39062632162666
60,-482.49189769239183
61,-44.010928832059975
62,-453.8236741359488
63,-106.2059234273451
64,-79.38941480802055
65,-285.212031236893
66,-320.3337302900434
67,-155.38143995287638
68,-55.83764504313523
69,-145.40333440116405
70,-104.52703202079564
71,-351.12722898616266
72,-461.6287462403552
73,-376.01276352256633
74,-70.44871261060669
75,-127.46031960791328
76,-603.2362549666501
77,-99.65616080712331
78,-274.7007557395084
79,-101.25835855027553
80,-52.331553563602185
81,-75.15367827288263
82,-280.20464704222275
83,-55.495481193559705
84,-331.50431123313797
85,-294.21686612648944
86,-59.84914673836861
87,-275.09787225831633
88,-128.44551686093055
89,-254.26010553607836
90,-380.4444120930053
91,-170.51256613533695
92,-216.875610920405
93,-278.8358232945745
94,-82.18906306581579
95,-117.38111600841064
96,-161.29582272293698
97,4.887672888868522
98,-133.52903059184726
99,-58.01676565841845
100,-219.96822936130246
101,-265.9934413550093
102,-54.276729655074035
103,-279.07808315319
104,-299.35899791685995
105,-227.79366356980867
106,-88.34054531226917
107,-147.47501222442634
108,-372.4380178466485
109,-324.8200882385385
110,-20.69962193154028
111,-112.88174571888192
112,-232.93716685158205
113,-65.91901010740757
114,-154.2357797474816
115,-373.8604054393912
116,-163.63432688682047
117,-190.22169170807058
118,-333.3382567185672
119,-243.70857152201904
120,-189.22641520949486
121,-78.39584280442392
122,-239.77231784195877
123,-140.12561685874817
124,-68.23714844944134
125,-182.87953936282327
126,-285.68658009242483
127,-219.28943758023723
128,-163.7167803338113
129,-225.2659684466115
130,-67.90351776164192
131,-202.57446373697962
132,-142.51368640416996
133,-88.04163396513454
134,-191.53890132145563
135,-258.3734108807978
136,-156.21411240920236
137,-177.13619284713783
138,-287.60412295486174
139,-272.42119508255985
140,-102.86460833654544
141,-190.20519174974004
142,-361.24093992952567
143,-228.52001621424827
144,-312.2422940670335
145,-69.64221947230051
146,-18.494259630730255
147,-350.5600018411633
148,-175.87450882166843
149,-403.7253532215689
150,-51.168681907291344
151,-189.65327235200874
152,-438.4894119413562
153,-156.7683459430181
154,13.578203737487172
155,-267.98567534820774
156,-531.2308514434856
157,-176.2827983993775
158,-237.7688238818799
159,-504.35342102284113
160,-31.327908071212875
161,-471.18189254926233
162,-194.30264658500803
163,-57.37821524727485
164,-473.36268903777307
165,-43.975621934474326
166,-44.3167180852251
167,-59.1529552282924
168,-190.66266362464506
169,-90.64485564034766
170,-101.83126545636897
171,-291.7615861428031
172,-177.4863870748772
173,-223.59083329219519
174,-97.66575365814704
175,-132.66357353053118
176,-93.34025974714561
177,-487.80744083050274
178,-54.747957544794005
179,-158.12264736885618
180,-231.02926032298444
181,-91.07193163212966
182,8.82106980498196
183,-201.53141103477714
184,-278.1549731437958
185,-307.91750588685125
186,-122.91797778423111
187,-156.7231259223698
188,-311.1658836354917
189,-40.17196928459256
190,-48.07357730291406
191,-122.25452937609171
192,-68.60699290761261
193,-160.16032601088142
194,-311.5373999756208
195,-444.8164587867083
196,-36.300278466735136
197,-84.41983361677154
198,-271.5092161733411
199,-470.71220359246826
200,-161.5986086403147
201,-319.8317305605211
202,-295.6585669627551
203,-170.7172787966337
204,-115.0380030011004
205,-359.74181306183834
206,-342.3688058493777
207,-319.81054538207945
208,-307.13198286369715
209,-292.03911598411395
210,-229.02787454290635
211,-349.6907928609023
212,-18.53598118450735
213,-222.23485238024253
214,-143.1614520722795
215,-218.56375351521427
216,-113.81152399962507
217,-47.966558628911365
218,-243.6565902289353
219,-34.58933376127689
220,-195.33428805547533
221,-65.03918561911846
222,-80.32961067924325
223,-24.140711524422954
224,-136.11541477084478
225,-226.31816462123533
226,-86.03269562992779
227,-157.63146955325078
228,-173.26851341117722
229,-70.85321683357635
230,-74.0347777653031
231,-160.93730790725567
232,-60.44436108282374
233,-222.72630675016148
234,-265.63830252857025
235,-91.82174909790004
236,-306.13763157105393
237,-114.77578247638931
238,-132.9836512271861
239,-109.45261003536169
240,-116.37002002177016
241,-28.636627105815393
242,-168.68243667516148
243,-306.91625200344316
244,-89.89804082930807
245,-320.2477534849944
246,-26.924935410465935
247,-89.81872691955631
248,-307.0799472799292
249,-27.0965165573937
250,-328.17036588167696
251,-79.25924247336093
252,-146.97382578063545
253,-295.219879187641
254,-232.97275279827915
255,-38.917943690201625
256,1.4953679117073193
257,-61.4750167395553
258,-90.11019860810067
259,-67.97431739292676
260,-250.24600937589634
261,-44.448991249813695
262,-34.60832037791745
263,-97.51201400256527
264,-299.9380517015197
265,-249.41114225978487
266,-45.69137379836083
267,-80.68391323500785
268,-72.52531414180238
269,-43.17779408447378
270,-36.121753089649204
271,-85.21980849876542
272,-44.18446460697823
273,-69.41118987765691
274,-19.32793535961511
275,-114.94413617210876
276,-47.52975105164782
277,-82.91718906451928
278,8.311139678603459
279,-189.87323733154943
280,-86.10777643846068
281,-221.4325719652392
282,-95.93351985085727
283,-40.391478778234024
284,-97.47656140017058
285,-47.6017951487094
286,-74.57690646094758
287,-111.41930758930246
288,-55.18852981668461
289,-20.5908433543609
290,-161.61405943963808
291,-85.76038110014444
292,-225.96870206560885
293,-79.56291705607747
294,-161.61360792207688
295,-110.8717681753711
296,-107.90686613903115
297,1.4152427916882573
298,-100.4178480007698
299,-19.538322596580855
300,-156.90445774956123
301,-182.53936221979376
302,-53.80915211705479
303,-159.7009253748456
304,-86.27474654926131
305,-1.1271570095184842
306,-89.96459652391793
307,-513.6448430821079
308,-62.62350639071188
309,-56.362118539250396
310,-80.42719162376969
311,-112.26855172107821
312,-37.23051771890204
313,-96.07779256080616
314,-9.245013834083508
315,-123.50642901256026
316,-263.3642811101221
317,-170.36076856362308
318,-62.12982877296317
319,-240.50723811319045
320,-42.11693756037089
321,-144.95398486478513
322,-103.78387882215
323,-2.4439600091084372
324,-51.85935851687716
325,-15.888028976605142
326,-81.99451021057962
327,-108.06953870491924
328,-82.10020053911398
329,-175.14765632082032
330,-146.66873008491672
331,-95.75156591734635
332,-77.60432444342052
333,-118.75571755647674
334,-17.10415167376
335,-310.91580797051085
336,-64.12356505346104
337,-177.40359232716952
338,-90.18078372534438
339,-20.963990690557793
340,-409.5933714980982
341,-11.057021280939523
342,-43.83478823840804
343,-113.08176381976129
344,-152.57818014609586
345,-237.6664311000671
346,-139.445995652092
347,-51.314396895385116
348,-128.216423390427
349,-222.0626915355599
350,-83.53520065642675
351,-286.56370046888395
352,-92.78357959464797
353,-312.3404405151533
354,-61.65456858300143
355,-83.67582202069109
356,-84.2058449734335
357,0.6863785268277525
358,-143.41550884228135
359,-57.995765762330905
360,-6.815507217607561
361,-11.638776326421592
362,-154.41301958036433
363,-26.884951746511035
364,-58.681765273375085
365,-84.58155623846623
366,-66.48803692720946
367,-64.93953888417735
368,-147.20109368732798
369,-100.2332323920184
370,-140.3047318019561
371,11.322733720624129
372,-100.8907755164606
373,3.132068311920065
374,-253.4707779813844
375,-33.33480029271719
376,-108.09344404357275
377,-141.1266182001201
378,-87.4696055076849
379,-24.678040945514425
380,-64.22544812369516
381,-243.3463758404557
382,-18.727966044049097
383,-106.22271418071406
384,-56.15189418827167
385,-29.257656961268424
386,6.851066201278755
387,-12.053234074766792
388,21.7833665301808
389,-63.90757915341508
390,-80.39756628263655
391,-65.23077973203728
392,6.187076900031869
393,10.166542727164355
394,-65.11866730598327
395,-13.36569909024351
396,-19.913329480760936
397,-260.82228056345525
398,-184.6185792065262
399,-185.35962231351294
400,-51.95122043413102
401,11.144584294160595
402,18.56896417144837
403,-24.336104851887185
404,-93.48199076490793
405,14.511256085229377
406,-23.47288631089289
