,scores
0,-159.20265716946693
1,-148.16493822365888
2,-135.90075479252218
3,-116.88270094176326
4,-109.23709010678581
5,-116.88367350011265
6,-90.6362655534148
7,-68.4871789232336
8,44.49062449749248
9,-43.9616391652335
10,-40.92172751332425
11,-37.280728961442406
12,-31.47658511895429
13,-27.46780835850783
14,-23.155298779838358
15,-21.54500354870702
16,-20.81973138941347
17,-20.22863979168628
18,-16.236475809719074
19,-16.32587896357199
20,-15.722846319663132
21,-15.798569069291098
22,-15.689565329507257
23,-15.995399838462685
24,-16.644063699659036
25,-16.061518281668775
26,-14.530310784568199
27,-14.697294540202558
28,-15.053599781794562
29,-15.097633375958114
30,-14.73944312472868
31,-15.89017316622062
32,-13.894927287181249
33,-14.578136805540314
34,-14.400254445981075
35,-14.70821021135644
36,-14.441741122124993
37,-13.97328685086842
38,-14.28385537210773
39,-12.808273178766324
40,-14.597461286069967
41,-13.803639531968235
42,-13.818346672421404
43,-14.84579494086367
44,-13.97573937071458
45,-13.036818068569994
46,-13.277750526742606
47,-13.504298867415839
48,-13.477084717210323
49,-14.462422001841896
50,-12.528124553160369
51,-12.872870307554782
52,-14.843057647164787
53,-14.205298755067357
54,-13.010597367339004
55,-13.249435504351746
56,-13.824337954948945
57,-13.839733227176461
58,-14.120050526085132
59,-14.731138924841115
60,-13.184143269539462
61,-12.836429669404545
62,-14.181952990778498
63,-12.356245435901092
64,-14.293278990540747
65,-13.033597501394867
66,-13.607670176502534
67,-14.931740167091759
68,-13.227106260471269
69,-13.839167613696654
70,-14.767773575912473
71,-13.696839272530921
72,-12.795381936428303
73,-13.455565227613281
74,-14.427964415062329
75,-12.851992296603921
76,-13.716380080009506
77,-13.21709796336619
78,-13.533768930783395
79,-13.308749048778237
80,-13.396771550041034
81,-13.750469296043105
82,-13.926568776664718
83,-13.428362214187716
84,-14.053283620299048
85,-14.53463670540222
86,-12.879206342431415
87,-14.27174682209607
88,-13.389961632147722
89,-13.499516173769623
90,-13.313806133739751
91,-14.02413139382559
92,-14.357863149531736
93,-13.867847645552864
94,-13.50316544045686
95,-13.72309795773915
96,-13.574916438312927
97,-14.122504953608336
98,-13.192431144075808
99,-14.06731878974255
100,-13.559565041415357
101,-14.602058751956987
