,scores
0,-1849.3876680563608
1,-1664.0771567396407
2,-1699.5013130377006
3,-1771.3831587668672
4,-1777.6224480441622
5,-1742.1202770268412
6,-1585.3984392716304
7,-1829.0349284722188
8,-1538.0353372699221
9,-1632.5577153139325
10,-1477.7249384887168
11,-1504.3022564013022
12,-1440.8364747506184
13,-1606.9259653961956
14,-1518.1115938410876
15,-1620.1791162285972
16,-1426.414018982262
17,-1663.2909711004895
18,-1586.6079756376594
19,-1800.6644263845783
20,-1475.742599528643
21,-1334.7706061177355
22,-1507.7534848514078
23,-1648.197495607948
24,-1564.796767153426
25,-1668.1519618583775
26,-1518.2260610979504
27,-1541.2247423536821
28,-1526.388217330912
29,-1305.9316656914048
30,-1674.4869700136776
31,-1571.598250100334
32,-1805.6118852464379
33,-1548.4107478963247
34,-1682.0641900905614
35,-1808.1941668879817
36,-1239.7704413296335
37,-1375.4029274746945
38,-1345.4855121410128
39,-1471.083223098376
40,-1491.6498068011267
41,-1376.792207176677
42,-1753.2876757539009
43,-1731.9737555903573
44,-1663.1563346415367
45,-1528.9797856758428
46,-1588.3896929566756
47,-1584.2571558819686
48,-1248.1540752137414
49,-1676.0623058356998
50,-1647.8618548285265
51,-1534.975109812414
52,-1415.4826522352462
53,-1628.9349975104203
54,-1501.9143998986303
55,-1269.0839967262884
56,-1617.5570561663558
57,-1613.2199149728378
58,-1398.6474682187068
59,-1547.9299053516868
60,-1730.8888738055816
61,-1583.5938256769828
62,-1446.2964539434147
63,-1411.6107554495482
64,-1459.133467536389
65,-1477.3719196445093
66,-1515.1980605227684
67,-1498.5868864552504
68,-1554.133989077862
69,-1149.537663989177
70,-1577.8530679695639
71,-1077.7269786881052
72,-1384.4815502617475
73,-1423.676549841162
74,-1370.7439401978872
75,-1489.87076123151
76,-1508.9486185928088
77,-1649.1911895243406
78,-1600.7421116747803
79,-1699.6152974730983
80,-1599.9831643194755
81,-1534.9003584976185
82,-1535.488781232364
83,-1244.6914405909874
84,-919.5272773819048
85,-1384.9668786292175
86,-1701.1873287718133
87,-1625.8022761945965
88,-1237.8067127673007
89,-1495.8162104470875
90,-1587.7201038185283
91,-1621.915825588888
92,-1228.18034062186
